"","Country","DirectCost","IndirectCost","TotalCost","FinancialContributions","DirectCost2","IndirectCost2","Total","year"
"150","Austria",0.000242881763902752,1,0.000372937541838405,0.000160417328375427,18,0.00025869394464966,0.00050441530189883,2013
"151","Belgium",0.000107558393557244,27,0.000201144746924427,0.000160057731983395,9,0.000212097710303213,0.000402723227858361,2013
"152","Canada",6.24265937483415e-05,7,0.000242938552563648,0.000149481881114715,28,0.000311693151562074,0.000408415202137635,2013
"153","Czech Republic",5.39174133747e-05,26,0.000140084216761208,4.35607719928987e-05,13,0.000181892918483973,0.000385710142118582,2013
"154","Denmark",0.000151030530561037,15,0.000418192399540526,0.000172546450145831,22,0.000511758452245236,0.000862418364965585,2013
"155","Finland",0.000275580635561606,9,0.000467788387861889,0.000166293951790947,23,0.000286835923705154,0.000661316026370547,2013
"156","France",0.000110973191585067,4,0.000264755330928584,0.000201597902134525,20,0.000676762068112569,0.000964363794498358,2013
"157","Germany",1.89925066309695e-05,20,6.37318415123264e-05,0.000185135667729502,8,0.000225763254104361,0.000404595473798626,2013
"158","Greece",2.74884372826073e-05,18,6.15978485334834e-05,0.00012119190459269,24,0.000231853627175481,0.000692982324450961,2013
"159","Hungary",7.8887714357461e-05,19,0.000117234670162832,5.97514322280857e-05,21,0.000208673089571287,0.000543219228376222,2013
"160","Ireland",0.000442339696218646,11,0.000673028074787358,0.00013764108787628,6,0.000248803629797868,0.000395059036592231,2013
"161","Italy",7.05273694184542e-05,8,0.000257168766160603,0.000150556395969218,16,0.000339016257995858,0.000578052827331293,2013
"162","Japan",4.44280551604292e-06,2,1.78472618955603e-05,0.000199977078406286,1,0,0,2013
"163","Luxembourg",1.72380941951248e-06,24,7.55490680713935e-06,0.000113618052265104,2,0.000189240363145688,0.00030179707210466,2013
"164","Netherlands",6.31426466917972e-05,10,0.000263969967198781,0.000167793752377352,12,0.000403898923912002,0.000607344125757338,2013
"165","New Zealand",0.000155716918096186,23,0.000693716770387905,0.000142272649477415,7,0.000354776668164711,0.000503997552387947,2013
"166","Norway",0.000235128290154895,21,0.000719494853917504,0.000121842092157798,19,0.000467120789657364,0.00074322849866492,2013
"167","Poland",0.000186218627222928,25,0.000268668358672698,3.28917606765479e-05,4,6.40509048871105e-05,0.000187800261735654,2013
"168","Portugal",0.000212887955169479,6,0.0003888936653569,0.000124067411472566,17,0.000162365135279849,0.000403158535154062,2013
"169","Slovakia",0.000367537192225257,16,0.000650177437280589,2.23070006141234e-05,5,8.43972281912488e-05,0.000228795452115558,2013
"170","South Korea",2.97242906366398e-05,12,5.34713175369881e-05,3.69681129864002e-05,15,8.18008233519303e-07,1.04086881775714e-06,2013
"171","Spain",4.95640832441465e-05,28,0.000143392246737096,0.000129053140997098,3,0.000106994168062373,0.000230741605411012,2013
"172","Sweden",0.000108394575178325,5,0.000264960189323523,0.000165499523861927,11,0.00031021544801709,0.000507031716323553,2013
"173","Switzerland",1.28999122564946e-05,22,6.23599358288699e-05,0.000124256256734654,26,0.000417605657044022,0.00049690940778003,2013
"174","United Kingdom",5.55921790765359e-05,14,0.000314708018386598,0.000208800563787028,10,0.000702753779102608,0.000894735152780852,2013
"175","United States",6.02227707180744e-06,13,3.08580602108246e-05,0.000135237692527123,25,0.000576392236024509,0.000654961383960939,2013
"176","EU",8.48873886547269e-05,3,0.000225942545183807,0.000162079980372062,14,0.000367734835729399,0.000580850142533872,2013
